Title,Accession Number,Title2,Museum Name,Gallery Name,Object Type,Main Material,Medium,Manufacturing Technique,Main Artist,Artist's Nationality,Artist's Life Date / Bio Data,Author,Country,Provenance,Origin Place,Find Place,Scribe,Style,School,Patron/Dynasty,Period / Year of Work,Inscription,Mint,Weight,Brief Description,Detailed Description,Coin Description Obverse,Coin Description Reverse,Denomination,Dimensions,Component Material II,Tribe,Costume,Culture,Component Material III
Darbar,AM-MIN-178,Darbar of Bahadurshah,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Papaer,Not Known,Indian,C.20th Century CE ( Modern),,India,Not known,,,,Company School,Company School,,C.20th Century AD,NA,,,Picture shows a scene of Darbar of Bahadurshah.,"Picture shows a scene of Darbar of Bahadurshah. The emperor makes 
an offering to some noble.",,,,27.94 x 266.7 cm,,NA,"All are wearing jama-pajama, shawl, mughal topi and some are wearing sadri.",NA,
Female Saint,AM-MIN-179,Female Saint,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,Painting shows a female saint seated outside a hut.,"Painting shows a female saint seated outside a hut before the 
burning fire. In front of her a princess is sitting and smoking 
hukka.",,,,17.145 x 12.065 cm,,NA,Saint wearing bhagua and princess wearing jama.,NA,
Utkanthit Krishna,AM-MIN-18,Utkanthit Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.1800 CE,NA,India,"Mewar, Udaipur ,Rajasthan","Mewar, Udaipur ,Rajasthan","Mewar, Udaipur ,Rajasthan",NA,Rajasthani,Rajasthani,NA,C.1800 CE,Two lines inscription is written in Devnagri script.,,,Krishna in search of Radha.,Picture shows on the left side a man seated close to the entrance of a room. In the veranda is seen a lady taking to Krishna. She is indicating the laying lady towards Krishna. On the lower floor a lady is seen sleeping on a cot. Her eyes are covered with a band of cloth. 'Dhai k dhar ko dhai inhi dhar' is written on the back of the painting.,,,,28.575 x 16.51 cm,,NA,"Krishna wearing gherdar jama & mukut. Lady in ghanghara,choli & odhani, man in bagalbandi & pagree.",NA,
Depicts Several Scenes,AM-MIN-180,Depicts Several Scenes,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18th Century CE,NA,,,Painting depicts normal activity of a group.,"Painting depicts several scenes in it. Above is seen a man seated under a tree and engaged in reading a book. Two persons, one in front 
and the other at the back side are seen smoking. Another person is 
seated under a second tree. A piece of cloth is encircling his body.In 
the second row from the left two persons are engaged in discourse. The 
third man is winding his to pagree and the fourth holds sitar to play 
on. The third row from the left shows a man near a tub and having a 
big cap, second man is seated, fourth and fifth are engaged in 
drinking and sixth one is taking water from a Bhishti. In the fourth 
row a man is weighing some stuff, second man takes the stuff in his 
cloth and the third man is looking upwards. Behind the third man there 
is a dog made in the corner.",,,,27.305 x 24.13 cm,,NA,"Jama-pajama, topi, shawl and kamarbandh",NA,
Fakir with His Pupils,AM-MIN-181,Fakir with His Pupils,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th century CE,Inscription is written in Urdu.,,,"A Fakir seated under a tree with his pupil on his side in the 
picture.","A Fakir seated under a tree with his pupil on his side in the 
picture. A book is seen lying before him on the ground. Two 
youngmen are seated in front of him, one of whom holds a guitar. 
There is a tree behind the youngman. Below the Urdu script reads 
as Saimaddana-Bannanak. The picture is highly retouched and 
restored.",,,,26.035 x 19.685 cm,,NA,"Jama-pajama, sadri, shawl, kamarbandh and topi.",NA,
Krishnalila,AM-MIN-182,Krishnalila,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Color on Papaer,Not Known,Indian,C.18th century CE,NA,India,"Nathdwara,Gujrat","Nathdwara, Gujarat","Nathdwara, Gujarat",NA,Nathdwara,Nathdwara,NA,C.18th Century CE,NA,,,Picture shows the scenes of Krishnalila.,"Picture shows the scenes of Krishnalila. On the top left corner 
a lady is offering Laddus to Krishna. Another lady keeps one of 
her hands on the shoulder of a boy holding a staff in his 
hand. On the top centre three ladies are seated under a tree and 
another standing lady is stretching her hand towards Krishna. 
Below this scene four armed Krishna is seen holding a jar, 
garland and flute in his hands. On his right there are two 
males while two ladies on the left. On the top right two 
devotees are engaged in worshiping an image of Shri Nath ji. 
Below are seen cows, Gopies and Gopies and Krishna milching a 
cow.",,,,33.02 x 22.86 cm,,NA,"Lord Krishna wearing langote and pagree; Ladies ghangra-choli, odhni; others dhoti kurta and pagree",NA,
Radha and Krishna Playing Holi,AM-MIN-183,Radha and Krishna Playing Holi,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,NA,Indian,C.18-19th Century CE,NA,India,"Nathdwara, Gujrat","Nathdwara,Gujarat","Nathdwara,Gujarat",NA,Nathdwara,Nathdwara,NA,C.18-19th Century CE,Painting is illustrated on top left corner in devnagri script.,,,Painting shows Radha and Krishna playing holi with gopies.,"Painting shows Radha and Krishna playing holi with gopies. Radha and 
Krishna are pouring red colors on each others. 'Shobha Beti ji' is 
written in nagari script on the top of the painting.",,,,14.605 x 10.795 cm,,NA,"All ladies wearing lehanga-chunri; Krishna wearing jama-pajama,pagree and kamarbandh",NA,
Krishna,AM-MIN-184,Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18-19th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18-19th Century CE,NA,,,"Painting shows Krishna standing with cattle on the top of a hill and 
playing his flute.","Painting shows Krishna standing with cattle on the top of a hill and 
playing his flute. The cows are shown around him. Some of the cows are 
in a great hurry to reach towards him and others are in search of the 
man who is producing such a melodious and an chanting sound. Below the painting, Shobha Beti ji is written in devnagri script.",,,,13.97 x 11.43 cm,,NA,"Dhoti, pagree and angvastra",NA,
Yasoda,AM-MIN-185,Yasoda,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,Not Known,Not known,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,Painting shows Yasoda is hondling baby Krishna in her arms.,"Painting shows Yasoda is hondling baby Krishna in her arms. Another 
lady also stands in front of her. On the top 'Shobha Beti ji' is 
written. Two butter posts are shown hanging in the house.",,,,14.605 x 124.46 cm,,NA,"Krishna wearing gherdar jama and mukut; ladies wearing lehanga, choli and chunri.",NA,
Krishna as a Milkman,AM-MIN-186,Krishna as a Milkman,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century CE,"'Shobha beti ji' is written  in devnagari script on the top left 
corner of the painting.",,,"This painting belong to 'Shobha Beti ji' series of paintings. It 
shows Krishna milching a white cow.","This painting belong to 'Shobha Beti ji' series of paintings. It 
shows Krishna milching a white cow. A lady stands behind the cow 
holding a jar in one of her hands. The calf is held by a man 
before the cow. The cow stands under a blossomed trees.",,,,14.605 x 10.795 cm,Paper,NA,"Krishna is wearing dhoti, pitambar and mukut; man is wearing dhoti, kamarbandh and pagree; lady is wearing lehaga.",NA,
Demon in guise of an animal,AM-MIN-187,Demon in guise of an animal,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th century  CE,NA,,,"Picture shows a demon in the guise of an animal with gapping mouth 
in order to swallow Krishna and his cows. The cows are seen being 
driven in the mouth of the demon.","Picture shows a demon in the guise of an animal with gapping mouth 
in order to swallow Krishna and his cows. The cows are seen being 
driven in the mouth of the demon.",,,,14.605 x 10.795 cm,,NA,Krishna in gherdar jama & mukut.,NA,
Krishna on Yamuna Bank,AM-MIN-188,Krishna on Yamuna Bank,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th century CE,"Painting with illustration in Devnagri script, i.e.,'Sobha Beti 
ji'",,,"Picture shows Krishna standing in the river Yamuna along with his 
companions.","Picture shows Krishna standing in the river Yamuna along with his 
companions. The cows are resting on the bank of the river under 
trees. Below script is written in Devnagri; Shobha Beti ji(?).",,,,15.24 x 10.795 cm,,NA,"Krishna wearing dhoti and mukut man wearing dhoti, kamarbandh and pagree.",NA,
Krishna,AM-MIN-189,Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century  CE,"Inscription is written in devnagri scipt ""Sobha Beti Ji""",,,"Picture shows Krishna accompanied by two ladies and proceeding 
towards a pedestal.","Picture shows Krishna accompanied by two ladies and proceeding 
towards a pedestal having a circular tank at the top. Various 
species of trees are painted in the background. Below Shobha Beti 
ji(?)is written.",,,,14.605 x 10.795 cm,,NA,"Krishna wearing dhoti, pitambar and mukut; ladies in ghangra odhni.",NA,
Mughal Court Scene,AM-MIN-19,Mughal Court Scene,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.15th century CE,NA,India,NA,NA,NA,NA,Indo-Persian,Indo-Persian,NA,C.15th Century CE,NA,,,Picture shows a Mughal King seated in the middle. Eight other persons of the court are seated in a circular fashion on the ground.,Picture shows a Mughal King seated in the middle. Eight other persons of the court are seated in a circular fashion on the ground.,,,,22.86 x 19.685 cm,,NA,"Men in Jama-pajama,bagalbandi & pagree.",NA,
king with his attendants,AM-MIN-190,king with his attendants,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th century  CE,NA,,,Painting shows a king seated on a wicker stool and holding a tumbler in one of his hands. Two warriors seated in front also hold tumblers in each of their hands. Six attendants stand by the side of the Raja. Three more persons also seen behind two warriors who are seated in front of the king. Two gate keepers too stand at the gate.,Painting shows a king seated on a wicker stool and holding a tumbler in one of his hands. Two warriors seated in front also hold tumblers in each of their hands. Six attendants stand by the side of the Raja. Three more persons also seen behind two warriors who are seated in front of the king. Two gate keepers too stand at the gate.,,,,38.1 x 31.75 cm,,NA,"All are in Jama-pajama,kamarbandh & pagree.",NA,
Todi Ragini,AM-MIN-193,Todi Ragini,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century  CE,Na,,,"It is a Ragini Series of painting. Todi Ragini has been depicted in 
the painting.","Painting shows a lady on the bank of a river and holding a Vina. 
Five bucks are following her. Birds and lotus flowers are seen in 
the water. Todi Ragini has been depicted in the painting.",,,,18.415 x 10.795 cm,,NA,"Ghanghra, choli & odhni",NA,
Mughal King,AM-MIN-194,Mughal King,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century  CE,NA,,,Painting shows a Muslim king seated on a carpet.,"Painting shows a Muslim king seated on a carpet spread on the 
ground. He holds a rosary in one of his hands. He wears a yellow 
turban on his head.",,,,18.415 x 13.335 cm,,NA,"Gherdar jama-pajama, pagree and kamarbandh.",NA,
Shiva Linga Worship,AM-MIN-195,Shiva Linga Worship,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Color on Paper,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,Painting shows a lady worshipping a shiva linga at night.,"Painting shows a lady worshipping a shiva linga kept under a tree at 
night. Two female attendants are seated behind her. Three more persons 
are seen seated on the mount a little away from her.",,,,20.955 x 14.605 cm,,NA,Pink saree,NA,
Raja offering sword,AM-MIN-196,Raja offering sword,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,Paper,Water Colour,Not Known,Indian,C.1775 CE,NA,India,"Mewar, Udaipur ,Rajasthan","Mewar, Udaipur ,Rajasthan","Mewar, Udaipur ,Rajasthan",NA,Rajasthani,Rajasthani,NA,C.1775 CE,NA,,,Painting shows a Raja offering a sword to a man standing before him with folded hands. Behind the king there stand two attendants each holding a flywhisk.,Painting shows a Raja offering a sword to a man standing before him with folded hands. Behind the king there stand two attendants each holding a flywhisk.,,,,26.67 x 21.59 cm,,NA,"Men in gherdar jama,kamarband & pagree.",NA,
Shri Sudarshan Chakra,AM-MIN-197,Shri Sudarshan Chakra,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Color on Paper,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century  CE,"one line inscription is written in Devnagri script on top.""Om 
Shri sahsrar hum phat shri sudarshanaya namah"".",,,Painting depicts the Sahsrarchakra of yoga.,"Painting depicts a preliminary part of Sahsrarchakra of yoga. An eight 
armed Vishnu is seated on a lotus throne inside a circle. He is 
wearing a vanamala; holding shell (shankh), wheel (Chakra), gada and a 
lotus in left hand and a manuscript, bow and arrow and an ankush in 
his right hand. He is wearing a saffron colured dhoti. One of his 
right hands is shown in Yogamudra. Shreevatsa is shown on the center 
of his chest. Three lotuses are shown blooming on the top of his 
crown. The god is shown with the eyes of spirituality (Pragyachakshu). 
Lotus is the symbolic representation of Yoga.",,,,23.88 x 16.51 cm,,NA,Red Dhoti,NA,
Palace Scene,AM-MIN-198,Palace Scene,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,"Kangra,  Himachal Pradesh","Kangra, Himachal Pradesh","Kangra, Himachal Pradesh",NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,Picture shows a scene inside a palace.,"Picture shows a scene inside a palace. On the right side of a A 
A vacant throne is surrounded by four female attendants in the 
picture. On the top left a lady is seen touching the feat of a 
man who holds his ears with his hands. The same person is being 
led a group of ladies. A lady is fanning him on the front side. 
Two ladies bended before him in respect. Again a second group of 
ladies are standing to welcome him.",,,,26.67 x 19.05 cm,,NA,Ghanghra and odhani,NA,
King and Queen at a Window,AM-MIN-199,King and Queen at a Window,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,Not Known,Indian,C.18th Century CE,NA,India,NA,"Pahari, Himachal Pradesh","Pahari, Himachal Pradesh",NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,"Picture shows a king and queen seated in the right at a window of 
a palace.","Picture shows a king and queen seated in the right at a window of a 
palace. In the two gates of the courtyard, on two gates, gate keepers 
stand holding their sticks. In the centre of the courtyard two ladies 
are seen with a child. On the extreme left there stands a man outside 
the gate. On the right side a lady is descending from the steps and 
holding something on her shoulder.",,,,24.765 x 17.145 cm,,NA,"Men in Jama-pajama, bagalbandi and pagree; ladies in saree and odhani; child in kurta.",NA,
Shravana Kumar,AM-MIN-2,Shravana Kumar,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,Paper,Water Colour,Not Known,Indian,C.1800 CE,NA,India,Rajasthan,"Mewar, Udaipur ,Rajasthan","Mewar, Udaipur ,Rajasthan",NA,Rajasthani,Rajasthani,NA,C.1800 CE,NA,,,"Picture shows Shravana Kumar keeping a bamboo pole on his shoulders from which two baskets are hung,  inside his father and mother are seated.","Picture shows Shravana Kumar keeping a bamboo pole on his shoulders from which two baskets are hung,  inside his father and mother are seated.",,,,19.05 x 17.78 cm,,NA,Man in dhoti & Angavastra,NA,
Krishna playing with parrot,AM-MIN-2.62,Krishna playing with parrot,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,,NA,Indian,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthan,NA,C.19th Century CE,,,,"""Miniature painting showing Krishna seated on a cushioned chauki 
attended by Gopies inside the palace. He is busy in playing with 
parrot In the garden below two more Gopies are also shown standing 
busy in some action.
""","""Miniature painting showing Krishna seated on a cushioned chauki 
attended by Gopies inside the palace. He is busy in playing with 
parrot in the garden below two more Gopies are also shown standing 
busy in some action.
""",,,,""" 33 x 24 cms.. """,,NA,,NA,
Radha and Krishna,AM-MIN-20,Radha and Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Water Colour,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th century  CE,NA,,,"On the mount.  Picture shows Radha seated on a chair. Krishna 
seated near her feet and engaged in painting her feet and nails. 
A lady stands behind him explaining something with the movement 
of her hands. Above on the left side a couple is seated inside a 
window. On the left a couple is seen on a boat while a pair of 
demons is engaged in caressing their child.","On the mount.  Picture shows Radha seated on a chair. Krishna 
seated near her feet and engaged in painting her feet and nails. 
A lady stands behind him explaining something with the movement 
of her hands. Above on the left side a couple is seated inside a 
window. On the left a couple is seen on a boat while a pair of 
demons is engaged in caressing their child.",,,,22.86 x 15.24 cm,,NA,Two lines  inscription is written in Devnagri script on top.,NA,
Prachhanna Viyog Sringar,AM-MIN-200,Prachhanna Viyog Sringar,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,Not Known,Indian,C.1775 CE,NA,India,"Mewar, Rajasthan","Mewar, Rajasthan","Mewar, Rajasthan",NA,Rajasthani,Rajasthani,NA,C.1775 CE,Painting is illustrated with Kavita in devnagari script.,,,Picture shows a narrative scene of 'Prachhanna Viyog Sringar'.,"Picture shows a narrative scene of 'Prachhanna Viyog Sringar' based on 
Keshavdas Rasikpriya. Picture shows on the left Radha-Krishna in 
conversation inside a pavilion. Two ladies are standing outside. A 
fountain is seen below on the left side. Prachhanna viyog sringar has 
been illustrated in this painting.",,,,29.21 x 15.875 cm,,NA,"Ladies wearing lehanga, chowli, odhni. Krishna wearing dhoti, kurta and red gown.",NA,
Krishna-Lila,AM-MIN-201,Krishna-Lila,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthan,NA,C.18th Century  CE,Painting with illustration in Devnagri script on top.,,,"The painting depicts the naughty activity of lord Krishna which is 
call as 'Krishna-Lila'.","Picture shows above a pavilion divided in three sections. On the 
extreme left a lady is churning curd. In the center stands a lady 
and behind her stands Krishna. Below a calf is sucking milk from 
its mother. A Gopa stands behind the cow holding a jar in one of 
his hands.",,,,28.575 x 16.51 cm,,NA,"Krishna in jama-pajama, kamarbandh and mukut. Ladies in lehanga, choli and odhni. Man in langote and pagree.",NA,
Radha and Krishna,AM-MIN-202,Radha and Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Water Colour,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century  CE,Painting with illustration in Devnagri script on the top.,,,Picture shows the poetry of Keshavdas.,"Picture shows Radha seated on a chair placed inside a pavilion. 
Krishna is seen seated in front of her with folded hands. Below is 
seen a fountain. Two ladies are standing on the stairs. The top of the 
painting is illustrated by poetry of Keshavdas in Devanangari script.",,,,29.21 x 17.145 cm,,NA,"Krishna wearing gherdar jama and mukut; ladies wearing lehanga, chunri.",NA,
Radha and Krishna,AM-MIN-203,Radha and Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthan,NA,C.18th century  CE,"Painting with illustration in Devnagri script on top in five 
lines.",,,"Painting shows at the top an inner apartment of a house where Radha and Krishna are seen lying on a cot. Below a fire has 
broken out in the roof of a house. At the bottom two ladies are fleeing with their children in panic.","Painting shows at the top an inner apartment of a house where 
Radha and Krishna are seen lying on a cot. Below a fire has 
broken out in the roof of a house. At the bottom two ladies are 
fleeing with their children in panic.",,,,29.21 x 17.145 cm,,NA,Ladies in Ghanghra-choli & odhni. Men in kamarbandhb & pagree  & the children's in langote.,NA,
Panchamukha Ganesa,AM-MIN-204,Panchamukha Ganesa,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Paper,Water Colour,Not Known,Indian,C.18th century CE,NA,India,"Kangra,  Himachal Pradesh","Kangra, Himachal Pradesh","Kangra, Himachal Pradesh",NA,Pahari,Pahari,NA,C.18th century  CE,NA,,,Picture shows five headed Ganesh (Panchamukha) seated on the base of lion.,Picture shows five headed Ganesh (Panchamukha) seated on the base of lion.,,,,20.32 x 13.97 cm,,NA,"Dhoti,angavastra.",NA,
Radha and Krishna,AM-MIN-205,Radha and Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,"Bundi, Rajasthan","Bundi, Rajasthan",NA,Rajasthani,NA,NA,18th Century CE,NA,,,Picture shows Radha and Krishna in storm standing under an umbrella.,"Picture shows Radha and Krishna standing under an umbrella in storm. 
The storm is seen brewing above with clouds and lightning. Two and a 
calf are running towards them in panic. Clouds are shown on the top of 
the painting.",,,,21.59 x 15.88 cm,,NA,"Radha wearing lehanga ,choli and odhni; Krishna wearing dhoti, pitambar and mukut.",NA,
Mahisasurmardini,AM-MIN-206,Mahisasurmardini,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Natural Colour,Water Colour,Not Known,Indian,C.18th century CE,NA,India,"Kangra,  Himachal Pradesh","Kangra, Himachal Pradesh","Kangra, Himachal Pradesh",NA,Kangra,Kangra,NA,C.18th century  CE,NA,,,"Painting shows goddess Mahisasurmardini killing the buffalo 
demon. Head of the demon has back cut off and lies on a side. 
Flying gandharvas and other celestials above are seen 
celebrating the rejoining on the eve of the end of the demon. A 
group of deities standing behind the goddess. Lion, the vehicle 
of the goddess is attacking the hand part of the demon.","Painting shows goddess Mahisasurmardini killing the buffalo 
demon. Head of the demon has back cut off and lies on a side. 
Flying gandharvas and other celestials above are seen 
celebrating the rejoining on the eve of the end of the demon. A 
group of deities standing behind the goddess. Lion, the vehicle 
of the goddess is attacking the hand part of the demon.",,,,24.13 x 15.875 cm,,NA,Goddess  in Durga & dhoti.,NA,
Shiva-Family,AM-MIN-207,Shiva-Family,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.19th Century CE,NA,India,"Pahari, Himachal Pradesh","Pahari, Himachal Pradesh","Pahari, Himachal Pradesh",NA,Pahari,Pahari,NA,C.19th Century  CE,NA,,,The painting depicts lord Shiva along with his family.,"Picture shows Shiva and Parvati seated on the back of the Nandi 
and moving in the mountains. Ganesh and Kartikeya accompany 
them.",,,,22.225 x 17.145 cm,,NA,Lord Ganesha wearing dhoti and angvastra. Others in langot. Parvati is wearing saree and dupatta.,NA,
Panchamukha Shiva,AM-MIN-209,Panchamukha Shiva,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.19th century CE,NA,India,"Pahari, Himachal Pradesh","Pahari, Himachal Pradesh","Pahari, Himachal Pradesh",NA,Pahari,Pahari,NA,C.19th century  CE,NA,,,Picture shows five headed Shiva(Panchamukha) seated with Parvati on a lotus throne. A devote with folded hands is seen standing to the left of their seat.,Picture shows five headed Shiva(Panchamukha) seated with Parvati on a lotus throne. A devote with folded hands is seen standing to the left of their seat.,,,,18.415 x 15.24 cm,,NA,Lady in Ghanghra-choli & odhni & Man in bagalbandi.,NA,
Krishna and Radha,AM-MIN-21,Krishna and Radha,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,India,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,The picture is divided in two sections. In the upper half a maid servant is showing the picture of Krishna to Radha. On the left side a vacant bed is seen inside a pavilion. Below Krishna is seen hidden in a garden near a grove having a well decorated semi-circular gate. There is seen a bed inside it.,The picture is divided in two sections. In the upper half a maid servant is showing the picture of Krishna to Radha. On the left side a vacant bed is seen inside a pavilion. Below Krishna is seen hidden in a garden near a grove having a well decorated semi-circular gate. There is seen a bed inside it.,,,,20.32 x 14.605 cm,,NA,"Lord Krishana in jama-pajama & Mukut. Ladies in ghanghara,choli & Odhani.",NA,
Raja,AM-MIN-210,Raja,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Color on Paper,Not known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,Painting shows a king standing and holding the pipe of a hukka.,"Painting shows a king standing and holding the pipe of a hukka 
held by an attendant before him. Another attendant also stands 
behind him and holds a flywhisk of peacock feathers.",,,,24.765 x 13.335 cm,,NA,"Gherdar jama, pajama, topi & kamarbandh.",NA,
Putana Episode,AM-MIN-211,Putana Episode,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,"Mewar, Udaipur ,Rajasthan","Mewar, Udaipur ,Rajasthan","Mewar, Udaipur ,Rajasthan",NA,Rajasthani,Mewar,NA,C.18th century  CE,Painting with illustration in Devnagri script.,,,Painting depicts an episode of Bhagwata.,"Painting shows at the top left corner in front of Krishna lying 
on a cot and Yasoda seated close by talking to three ladies 
standing before her. Below Putana lies dead. Two persons are 
cutting her limbs with axes. Above Nand is standing near a tree 
issuing instruction to his man and carrying a leg towards the 
blaring fire on the right. Below two persons are carrying one 
hand of Putana by suspending it in a bamboo.",,,,29.21 x 18.415 cm,,NA,"Mostly the person wearing dhoti, uttariya and pagree. Some are in jama, pajama; ladies in lehanga.",NA,
Lily Flower,AM-MIN-212,Lily Flower,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,"Kishangarh, Ajmer , Rajasthan",Rajasthan,Rajasthan,NA,Kishangarh,Kishangarh,NA,C.18th Century  CE,Painting with illustration in Devnagari script.,,,Painting shows blue lily flower with leaves.,"Painting shows blue lily with leaves. Above its indicated that 
the product belong to Kishangarh school. The script reads as 
Prabhal surchananam rai phulad surajmal ko sarkar nopur 
Kisanagarh phol pramara ko(?).",,,,18.415 x 12.7 cm,,NA,NA,NA,
